species,x_Ge,T_K,seed,D_eff_final,D_SiGe_analytic_cm2_s,relative_difference_pct,stop_reason,step_count,total_dopant_hops,elapsed_wallclock_sec
Boron,0.4000,1173.15,606,2.986333e-16,3.131257e-16,4.6283,converged_Deff,6950000,6950000,17.01
Boron,0.4000,1173.15,707,2.891097e-16,3.131257e-16,7.6698,converged_Deff,6350000,6350000,15.65
Boron,0.4000,1173.15,808,2.862077e-16,3.131257e-16,8.5965,converged_Deff,9100000,9100000,22.48
Boron,0.0000,1273.15,101,1.488179e-14,1.528852e-14,2.6603,converged_Deff,8450000,8450000,20.76
Boron,0.0000,1273.15,202,1.488122e-14,1.528852e-14,2.6641,converged_Deff,7800000,7800000,19.31
Boron,0.0000,1273.15,303,1.539500e-14,1.528852e-14,0.6965,converged_Deff,6900000,6900000,16.99
Boron,0.0000,1273.15,404,1.558788e-14,1.528852e-14,1.9581,converged_Deff,6650000,6650000,16.46
Boron,0.0000,1273.15,505,1.548922e-14,1.528852e-14,1.3128,converged_Deff,6000000,6000000,14.65
Boron,0.0000,1273.15,606,1.549585e-14,1.528852e-14,1.3561,converged_Deff,6950000,6950000,16.98
Boron,0.0000,1273.15,707,1.500168e-14,1.528852e-14,1.8762,converged_Deff,6350000,6350000,15.64
Boron,0.0000,1273.15,808,1.485110e-14,1.528852e-14,2.8611,converged_Deff,9100000,9100000,22.35
Boron,0.0250,1273.15,101,1.384195e-14,1.418382e-14,2.4103,converged_Deff,8450000,8450000,21.02
Boron,0.0250,1273.15,202,1.384141e-14,1.418382e-14,2.4141,converged_Deff,7800000,7800000,19.24
Boron,0.0250,1273.15,303,1.431929e-14,1.418382e-14,0.9551,converged_Deff,6900000,6900000,17.11
Boron,0.0250,1273.15,404,1.449869e-14,1.418382e-14,2.2199,converged_Deff,6650000,6650000,16.51
Boron,0.0250,1273.15,505,1.440693e-14,1.418382e-14,1.5730,converged_Deff,6000000,6000000,14.81
Boron,0.0250,1273.15,606,1.441310e-14,1.418382e-14,1.6165,converged_Deff,6950000,6950000,17.01
Boron,0.0250,1273.15,707,1.395345e-14,1.418382e-14,1.6242,converged_Deff,6350000,6350000,15.67
Boron,0.0250,1273.15,808,1.381339e-14,1.418382e-14,2.6116,converged_Deff,9100000,9100000,22.59
Boron,0.0500,1273.15,101,1.287473e-14,1.315895e-14,2.1599,converged_Deff,8450000,8450000,20.79
Boron,0.0500,1273.15,202,1.287423e-14,1.315895e-14,2.1637,converged_Deff,7800000,7800000,19.18
Boron,0.0500,1273.15,303,1.331872e-14,1.315895e-14,1.2141,converged_Deff,6900000,6900000,16.97
Boron,0.0500,1273.15,404,1.348558e-14,1.315895e-14,2.4822,converged_Deff,6650000,6650000,16.16
Boron,0.0500,1273.15,505,1.340023e-14,1.315895e-14,1.8336,converged_Deff,6000000,6000000,14.62
Boron,0.0500,1273.15,606,1.340597e-14,1.315895e-14,1.8772,converged_Deff,6950000,6950000,17.04
Boron,0.0500,1273.15,707,1.297845e-14,1.315895e-14,1.3717,converged_Deff,6350000,6350000,15.78
Boron,0.0500,1273.15,808,1.284817e-14,1.315895e-14,2.3617,converged_Deff,9100000,9100000,22.46
Boron,0.0750,1273.15,101,1.197507e-14,1.220813e-14,1.9090,converged_Deff,8450000,8450000,20.88
Boron,0.0750,1273.15,202,1.197461e-14,1.220813e-14,1.9128,converged_Deff,7800000,7800000,19.13
Boron,0.0750,1273.15,303,1.238803e-14,1.220813e-14,1.4736,converged_Deff,6900000,6900000,16.95
Boron,0.0750,1273.15,404,1.254324e-14,1.220813e-14,2.7450,converged_Deff,6650000,6650000,16.38
Boron,0.0750,1273.15,505,1.246385e-14,1.220813e-14,2.0947,converged_Deff,6000000,6000000,14.94
Boron,0.0750,1273.15,606,1.246919e-14,1.220813e-14,2.1384,converged_Deff,6950000,6950000,17.09
Boron,0.0750,1273.15,707,1.207154e-14,1.220813e-14,1.1188,converged_Deff,6350000,6350000,15.48
Boron,0.0750,1273.15,808,1.195037e-14,1.220813e-14,2.1114,converged_Deff,9100000,9100000,22.58
Boron,0.1000,1273.15,101,1.113825e-14,1.132601e-14,1.6578,converged_Deff,8450000,8450000,20.86
Boron,0.1000,1273.15,202,1.113782e-14,1.132601e-14,1.6616,converged_Deff,7800000,7800000,19.24
Boron,0.1000,1273.15,303,1.152236e-14,1.132601e-14,1.7336,converged_Deff,6900000,6900000,17.13
Boron,0.1000,1273.15,404,1.166672e-14,1.132601e-14,3.0082,converged_Deff,6650000,6650000,16.47
Boron,0.1000,1273.15,505,1.159288e-14,1.132601e-14,2.3562,converged_Deff,6000000,6000000,14.84
Boron,0.1000,1273.15,606,1.159784e-14,1.132601e-14,2.4001,converged_Deff,6950000,6950000,17.14
Boron,0.1000,1273.15,707,1.122798e-14,1.132601e-14,0.8655,converged_Deff,6350000,6350000,15.57
Boron,0.1000,1273.15,808,1.111528e-14,1.132601e-14,1.8606,converged_Deff,9100000,9100000,22.59
Boron,0.1250,1273.15,101,1.035989e-14,1.050763e-14,1.4061,converged_Deff,8450000,8450000,21.00
Boron,0.1250,1273.15,202,1.035949e-14,1.050763e-14,1.4099,converged_Deff,7800000,7800000,19.35
Boron,0.1250,1273.15,303,1.071715e-14,1.050763e-14,1.9940,converged_Deff,6900000,6900000,17.17
Boron,0.1250,1273.15,404,1.085143e-14,1.050763e-14,3.2718,converged_Deff,6650000,6650000,16.45
Boron,0.1250,1273.15,505,1.078275e-14,1.050763e-14,2.6182,converged_Deff,6000000,6000000,14.52
Boron,0.1250,1273.15,606,1.078736e-14,1.050763e-14,2.6622,converged_Deff,6950000,6950000,17.21
Boron,0.1250,1273.15,707,1.044335e-14,1.050763e-14,0.6118,converged_Deff,6350000,6350000,15.72
Boron,0.1250,1273.15,808,1.033852e-14,1.050763e-14,1.6094,converged_Deff,9100000,9100000,22.16
Boron,0.1500,1273.15,101,9.635901e-15,9.748389e-15,1.1539,converged_Deff,8450000,8450000,20.71
Boron,0.1500,1273.15,202,9.635529e-15,9.748389e-15,1.1577,converged_Deff,7800000,7800000,19.32
Boron,0.1500,1273.15,303,9.968198e-15,9.748389e-15,2.2548,converged_Deff,6900000,6900000,17.08
Boron,0.1500,1273.15,404,1.009309e-14,9.748389e-15,3.5359,converged_Deff,6650000,6650000,16.43
Boron,0.1500,1273.15,505,1.002921e-14,9.748389e-15,2.8807,converged_Deff,6000000,6000000,14.96
Boron,0.1500,1273.15,606,1.003350e-14,9.748389e-15,2.9247,converged_Deff,6950000,6950000,17.11
Boron,0.1500,1273.15,707,9.713527e-15,9.748389e-15,0.3576,converged_Deff,6350000,6350000,15.61
Boron,0.1500,1273.15,808,9.616026e-15,9.748389e-15,1.3578,converged_Deff,9100000,9100000,22.40
Boron,0.1750,1273.15,101,8.962488e-15,9.044004e-15,0.9013,converged_Deff,8450000,8450000,20.82
Boron,0.1750,1273.15,202,8.962141e-15,9.044004e-15,0.9052,converged_Deff,7800000,7800000,19.25
Boron,0.1750,1273.15,303,9.271561e-15,9.044004e-15,2.5161,converged_Deff,6900000,6900000,17.26
Boron,0.1750,1273.15,404,9.387722e-15,9.044004e-15,3.8005,converged_Deff,6650000,6650000,16.64
Boron,0.1750,1273.15,505,9.328306e-15,9.044004e-15,3.1435,converged_Deff,6000000,6000000,14.94
Boron,0.1750,1273.15,606,9.332301e-15,9.044004e-15,3.1877,converged_Deff,6950000,6950000,17.13
