species,T_K,x_Ge,n,D_eff_mean_cm2_s,D_eff_sd_cm2_s,D_eff_se_cm2_s,rel_se_pct
Boron,1373.15,0.025,8,1.412966e-13,2.989055623436942e-15,1.0567907503380226e-15,0.7479236940860733
Boron,1373.15,0.05,8,1.32138575e-13,2.7953172647687584e-15,9.882938967429105e-16,0.7479223207476776
Boron,1373.15,0.075,8,1.2357387500000001e-13,2.614130752960043e-15,9.242347911631708e-16,0.747920862045615
Boron,1373.15,0.1,8,1.155640375e-13,2.4446834705642366e-15,8.643261299453175e-16,0.7479196371495047
Boron,1373.15,0.125,8,1.080731125e-13,2.2862360973177216e-15,8.083065239034143e-16,0.7479256451537974
Boron,1373.15,0.15,8,1.0106759875e-13,2.138026150377541e-15,7.559063946430642e-16,0.7479215930645272
Boron,1373.15,0.175,8,9.451596375e-14,1.99943025674771e-15,7.069053465279327e-16,0.7479216404095892
Boron,1373.15,0.2,8,8.8388845e-14,1.8698156858975636e-15,6.610796755335714e-16,0.7479220658823762
Boron,1373.15,0.225,8,8.265874875e-14,1.7485969760716135e-15,6.182223896712645e-16,0.7479213017621011
Boron,1373.15,0.25,8,7.72999575e-14,1.6352372478962e-15,5.781436734181153e-16,0.7479223690622537
Boron,1373.15,0.275,8,7.2288425e-14,1.5292183375455953e-15,5.406603281966545e-16,0.7479210235893984
Boron,1373.15,0.3,8,6.760165749999999e-14,1.430072819911628e-15,5.056070942750402e-16,0.7479211501212677
Boron,1373.15,0.325,8,6.321861625e-14,1.3373525410188768e-15,4.728255252957541e-16,0.7479213455510489
Boron,1373.15,0.35,8,5.911963124999999e-14,1.2506424545515727e-15,4.421688802266028e-16,0.7479222567488576
Boron,1373.15,0.375,8,5.52863e-14,1.1695486654261118e-15,4.134978961252401e-16,0.7479210873674674
Boron,1373.15,0.4,8,5.17014125e-14,1.0937127932969563e-15,3.8668586640537925e-16,0.7479212804976639
